fold,row_index,date,actual,predicted,prob_up,next_day_return,signal,position_change,transaction_cost,strategy_return,equity_curve,buy_hold_curve,benchmark_return,drawdown
0,81,2022-05-04,1,0,0.3462147508136693,0.00030284821366977077,0,0.0,0.0,0.0,1.0,1.0003028482136698,0.00030284821366977077,0.0
0,82,2022-05-05,0,0,0.3513426797845347,-0.0162684216398562,0,0.0,0.0,-0.0,1.0,0.9840294997113808,-0.0162684216398562,0.0
0,83,2022-05-06,0,0,0.2864168126460719,-0.006666182687180999,0,0.0,0.0,-0.0,1.0,0.9774697792967294,-0.006666182687180999,0.0
0,84,2022-05-09,0,0,0.4447489289505975,-0.003790968888092272,0,0.0,0.0,-0.0,1.0,0.9737642217743651,-0.003790968888092272,0.0
0,85,2022-05-10,0,1,0.581162615016572,-0.0044919933245182175,1,1.0,0.001,-0.0054919933245182176,0.9945080066754818,0.9693900793904999,-0.0044919933245182175,-0.005491993324518218
0,86,2022-05-11,0,1,0.7890491038096137,-0.022211752141785834,1,0.0,0.0,-0.022211752141785834,0.9724182413281844,0.9478582272183721,-0.022211752141785834,-0.02758175867181556
0,87,2022-05-12,0,0,0.1687974858497182,-0.0016352232651188903,0,1.0,0.001,-0.001,0.9714458230868562,0.9463082673931903,-0.0016352232651188903,-0.02855417691314377
0,88,2022-05-13,1,0,0.1139303687979039,0.0038112305721171857,0,0.0,0.0,0.0,0.9714458230868562,0.9499148663925264,0.0038112305721171857,-0.02855417691314377
0,89,2022-05-16,1,0,0.1064647830079226,0.026321935902047233,0,0.0,0.0,0.0,0.9714458230868562,0.9749184646181123,0.026321935902047233,-0.02855417691314377
0,90,2022-05-17,0,0,0.0156492957886101,-0.0011685620062508173,0,0.0,0.0,-0.0,0.9714458230868562,0.9737792119411671,-0.0011685620062508173,-0.02855417691314377
0,91,2022-05-18,0,0,0.0081548007761849,-0.026532725334179386,0,0.0,0.0,-0.0,0.9714458230868562,0.9479421955745985,-0.026532725334179386,-0.02855417691314377
0,92,2022-05-19,1,0,0.0206517039391365,0.028891038794289337,0,0.0,0.0,0.0,0.9714458230868562,0.9753292303216881,0.028891038794289337,-0.02855417691314377
0,93,2022-05-20,0,0,0.0669324530036772,-0.0031630222318707046,0,0.0,0.0,-0.0,0.9714458230868562,0.9722442422827872,-0.0031630222318707046,-0.02855417691314377
0,94,2022-05-23,0,0,0.0194079264424662,-0.005522754266735541,0,0.0,0.0,-0.0,0.9714458230868562,0.9668747762454108,-0.005522754266735541,-0.02855417691314377
0,95,2022-05-24,0,0,0.0470440667149691,-0.006161219184365629,0,0.0,0.0,-0.0,0.9714458230868562,0.9609176488251284,-0.006161219184365629,-0.02855417691314377
0,96,2022-05-25,1,0,0.0315472064283336,0.009007387318995308,0,0.0,0.0,0.0,0.9714458230868562,0.9695730062697546,0.009007387318995308,-0.02855417691314377
0,97,2022-05-26,1,0,0.0268303211297207,0.011273847198922216,0,0.0,0.0,0.0,0.9714458230868562,0.9805038241906395,0.011273847198922216,-0.02855417691314377
0,98,2022-05-27,1,0,0.0457902061348806,0.018893205092962884,0,0.0,0.0,0.0,0.9714458230868562,0.9990286840355077,0.018893205092962884,-0.02855417691314377
0,99,2022-05-30,0,0,0.0251384837501951,-0.004612433983534836,0,0.0,0.0,-0.0,0.9714458230868562,0.9944207301827362,-0.004612433983534836,-0.02855417691314377
0,100,2022-05-31,0,0,0.0018639312201704,-0.0037264067061659745,0,0.0,0.0,-0.0,0.9714458230868562,0.9907151141050329,-0.0037264067061659745,-0.02855417691314377
0,101,2022-06-01,1,0,0.0077193510128038,0.006370004993115463,0,0.0,0.0,0.0,0.9714458230868562,0.9970259743286369,0.006370004993115463,-0.02855417691314377
0,102,2022-06-02,0,0,0.002227421587848,-0.002628050201467391,0,0.0,0.0,-0.0,0.9714458230868562,0.9944057400159343,-0.002628050201467391,-0.02855417691314377
1,103,2022-06-03,0,1,0.5990834752142349,-0.0008893953501298846,1,1.0,0.001,-0.0018893953501298846,0.9696103778658128,0.9935213201746217,-0.0008893953501298846,-0.030389622134187166
