fold,train_samples,test_samples,accuracy,precision,recall,f1,roc_auc
0,81,22,0.5454545454545454,0.0,0.0,0.0,0.4553571428571429
1,81,21,0.38095238095238093,0.3076923076923077,0.5,0.38095238095238093,0.4326923076923077
2,83,22,0.4090909090909091,1.0,0.13333333333333333,0.23529411764705882,0.21904761904761905
3,84,20,0.65,0.65,1.0,0.7878787878787878,0.4285714285714286
4,85,20,0.4,0.3684210526315789,1.0,0.5384615384615384,0.7362637362637362
5,83,21,0.38095238095238093,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5204081632653061
6,83,21,0.3333333333333333,0.5,0.07142857142857142,0.125,0.5102040816326531
7,82,21,0.5238095238095238,0.5,1.0,0.6666666666666666,0.5454545454545454
8,83,22,0.36363636363636365,0.3125,0.625,0.4166666666666667,0.43750000000000006
9,85,20,0.45,0.375,0.8571428571428571,0.5217391304347826,0.6153846153846154
10,84,19,0.2631578947368421,0.16666666666666666,0.1,0.125,0.4111111111111111
11,82,18,0.2777777777777778,0.0,0.0,0.0,0.7692307692307693
12,79,23,0.30434782608695654,0.0,0.0,0.0,0.5083333333333333
13,80,19,0.631578947368421,0.6875,0.8461538461538461,0.7586206896551724,0.47435897435897434
14,79,23,0.391304347826087,0.5,0.42857142857142855,0.46153846153846156,0.46825396825396826
15,83,21,0.5238095238095238,0.5789473684210527,0.8461538461538461,0.6875,0.41346153846153844
16,86,19,0.5789473684210527,0.5789473684210527,1.0,0.7333333333333333,0.32954545454545453
17,82,22,0.5,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.5384615384615384
18,85,19,0.631578947368421,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.7435897435897436
19,81,21,0.5238095238095238,0.6111111111111112,0.7857142857142857,0.6875,0.5918367346938777
20,81,21,0.47619047619047616,0.5294117647058824,0.75,0.6206896551724138,0.5092592592592593
21,83,20,0.6,0.6875,0.7857142857142857,0.7333333333333333,0.35714285714285715
22,81,19,0.631578947368421,0.6428571428571429,0.8181818181818182,0.72,0.75
23,81,19,0.5789473684210527,0.5625,0.9,0.6923076923076923,0.6333333333333333
24,79,20,0.5,0.5,1.0,0.6666666666666666,0.81
25,78,21,0.6190476190476191,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.6333333333333333
26,79,22,0.3181818181818182,0.2,0.08333333333333333,0.11764705882352941,0.3666666666666667
27,82,20,0.6,0.7857142857142857,0.6875,0.7333333333333333,0.328125
28,83,21,0.42857142857142855,0.4666666666666667,0.6363636363636364,0.5384615384615384,0.2545454545454545
29,84,22,0.2727272727272727,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.47619047619047616
30,85,19,0.47368421052631576,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.45555555555555555
31,82,22,0.5,0.4375,0.7777777777777778,0.56,0.36752136752136755
32,84,22,0.45454545454545453,0.47619047619047616,0.9090909090909091,0.625,0.7603305785123966
33,85,19,0.6842105263157895,0.16666666666666666,0.5,0.25,0.4411764705882353
34,82,21,0.38095238095238093,0.0,0.0,0.0,0.6442307692307693
35,84,18,0.3888888888888889,0.6,0.25,0.35294117647058826,0.5416666666666666
36,80,21,0.5714285714285714,0.3333333333333333,0.125,0.18181818181818182,0.41346153846153844
37,79,22,0.4090909090909091,0.0,0.0,0.0,0.7008547008547008
38,82,22,0.2727272727272727,0.25,0.3,0.2727272727272727,0.19999999999999998
39,83,20,0.5,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.7272727272727273
40,85,21,0.5238095238095238,0.75,0.25,0.375,0.7314814814814815
41,85,20,0.55,0.6666666666666666,0.6153846153846154,0.64,0.5384615384615384
42,83,21,0.6666666666666666,0.6666666666666666,0.6,0.631578947368421,0.7090909090909091
